Part 1:	General data of instance																			
R	K	|V|	O	U	a	b														
579	366	341	-10	313	953	90	508	-1	10											
580	392	213	20	1852	2492	90	-1	327	11											
581	167	304	20	99	739	90	-1	753	11											
582	477	154	10	1266	1906	90	-1	64	11											
583	234	383	10	1859	2499	90	-1	774	11											
584	199	327	-20	2819	3459	90	525	-1	10											
585	140	220	30	563	1203	90	-1	986	11											
586	144	266	30	107	747	90	-1	963	11											
587	432	105	-30	2952	3592	90	852	-1	14											
588	368	325	30	139	779	90	-1	933	11											
589	202	386	-10	144	784	90	472	-1	9											
590	325	246	10	1280	1920	90	-1	367	11											
591	430	86	20	2526	3166	90	-1	354	11											
592	200	195	20	1945	2585	90	-1	505	11											
593	440	295	30	1896	2536	90	-1	623	11											
594	77	287	-10	1665	2305	90	40	-1	8											
595	187	362	20	1546	2186	90	-1	750	11											
596	131	207	-30	759	1399	90	553	-1	10											
597	405	5	-20	546	1186	90	575	-1	11											
598	125	226	-30	1149	1789	90	251	-1	7											
599	254	335	-10	2773	3413	90	793	-1	13											
600	212	168	20	620	1260	90	-1	100	11											
601	281	279	20	474	1114	90	-1	900	11											
602	326	241	20	1375	2015	90	-1	967	11											
603	152	241	20	553	1193	90	-1	871	11											
604	71	139	-30	567	1207	90	962	-1	15											
605	46	277	10	349	989	90	-1	211	11											
606	393	13	-30	1118	1758	90	164	-1	6											
607	87	454	-20	642	1282	90	658	-1	12											
608	86	359	-20	2988	3628	90	306	-1	7											
609	220	192	20	65	705	90	-1	182	11											
610	426	279	-20	2872	3512	90	45	-1	9											
611	131	267	-10	2332	2972	90	424	-1	9											
612	200	297	30	313	953	90	-1	877	11											
613	299	442	10	1664	2304	90	-1	199	11											
614	265	218	-20	2189	2829	90	416	-1	9											
615	398	231	-10	2056	2696	90	25	-1	7											
616	312	74	-30	2509	3149	90	778	-1	13											
617	99	307	-30	2474	3114	90	99	-1	15											
618	22	283	30	1073	1713	90	-1	303	11											
619	67	160	10	2450	3090	90	-1	314	11											
620	390	42	-10	2348	2988	90	705	-1	12											
621	44	279	-40	256	896	90	362	-1	8											
622	200	182	10	913	1553	90	-1	24	11											
623	458	303	-30	2291	2931	90	593	-1	11											
624	298	438	10	327	967	90	-1	926	11											
625	62	301	20	2990	3630	90	-1	924	11											
626	112	251	-20	1393	2033	90	419	-1	9											
627	184	354	30	1736	2376	90	-1	299	11											
628	140	180	20	2769	3409	90	-1	20	11											
629	269	428	-10	905	1545	90	980	-1	15											
630	123	206	10	1645	2285	0	-1	1011	11											
631	36	284	10	1458	2098	90	-1	185	11											
632	272	233	-20	1507	2147	90	747	-1	13											
633	320	231	-30	2144	2784	90	329	-1	7											
634	211	180	20	518	1158	90	-1	523	11											
635	114	169	-10	2372	3012	90	896	-1	14											
636	245	239	-20	2693	3333	90	283	-1	7											
637	117	204	-20	1458	2098	90	315	-1	7											
638	316	254	-20	510	1150	90	386	-1	8											
639	169	443	-10	260	900	90	775	-1	13											
640	212	96	-20	664	1304	90	11	-1	2											
641	119	285	-20	2823	3463	90	847	-1	14											
642	71	163	-10	2545	3185	90	913	-1	15											
643	78	361	10	2980	3620	90	-1	872	11											
644	354	219	-10	3076	3716	90	275	-1	7											
645	389	233	20	2247	2887	90	-1	485	12											
646	90	391	10	301	941	90	-1	914	12											
647	209	307	10	1571	2211	90	-1	881	12											
648	363	351	-20	2683	3323	90	373	-1	8											
649	405	47	10	255	895	90	-1	489	12											
650	278	329	10	83	723	90	-1	351	12											
651	261	371	20	738	1378	90	-1	389	12											
652	302	470	20	1987	2627	90	-1	156	12											
653	373	205	40	130	770	90	-1	901	12											
654	381	20	-10	1588	2228	90	726	-1	12											
655	90	277	30	422	1062	90	-1	838	12											
656	46	341	-30	2419	3059	90	166	-1	6											
657	50	138	-10	1649	2289	90	549	-1	10											
658	61	437	20	265	905	90	-1	607	12											
659	331	252	-10	894	1534	90	324	-1	7											
660	440	81	20	2425	3065	0	-1	1002	12											
661	384	206	-10	499	1139	90	388	-1	8											
662	232	87	-20	1264	1904	90	711	-1	12											
663	59	471	20	1244	1884	90	-1	702	12											
664	174	304	20	93	733	90	-1	768	12											
665	106	248	20	1206	1846	90	-1	333	12											
666	410	287	-10	2980	3620	90	869	-1	14											
667	206	313	-10	1851	2491	90	861	-1	14											
668	412	367	20	720	1360	90	-1	878	12											
669	412	300	-30	275	915	90	834	-1	14											
670	206	295	-10	2569	3209	90	947	-1	15											
671	329	459	-10	2645	3285	90	174	-1	6											
672	177	436	20	199	839	90	-1	378	12											
673	266	264	30	363	1003	90	-1	966	12											
674	308	235	-20	2895	3535	90	158	-1	6											
675	260	330	-10	2963	3603	90	30	-1	7											
676	49	136	-10	1465	2105	90	991	-1	15											
677	356	28	-10	760	1400	90	69	-1	12											
678	428	384	-20	2204	2844	90	688	-1	12											
679	220	362	-20	1091	1731	90	27	-1	7											
680	437	61	-20	1848	2488	90	988	-1	15											
681	365	360	20	1800	2440	90	-1	535	12											
682	107	168	-30	2275	2915	90	954	-1	15											
683	220	177	20	221	861	90	-1	102	12											
684	347	21	-20	1146	1786	90	200	-1	6											
685	293	245	-10	3141	3781	90	528	-1	10											
686	267	436	-20	2767	3407	90	300	-1	7											
687	216	96	-30	2326	2966	90	265	-1	7											
688	383	351	20	167	807	90	-1	678	12											
689	289	240	-20	699	1339	90	248	-1	6											
690	129	185	-10	2574	3214	90	902	-1	14											
691	291	450	-10	2465	3105	90	478	-1	9											
692	387	21	10	1308	1948	90	-1	204	12											
693	116	255	20	999	1639	90	-1	58	12											
694	50	368	-30	1741	2381	90	397	-1	8											
695	121	249	-10	2181	2821	90	269	-1	7											
696	404	346	10	923	1563	90	-1	78	12											
697	77	360	-20	2979	3619	90	56	-1	10											
698	447	102	10	2938	3578	90	-1	12	12											
699	366	16	-30	1738	2378	90	76	-1	13											
700	348	16	30	1540	2180	90	-1	951	12											
701	353	346	-20	2874	3514	90	104	-1	1											
702	54	485	-20	1533	2173	90	663	-1	12											
703	319	77	30	2318	2958	90	-1	453	12											
704	83	282	10	1292	1932	90	-1	543	12											
705	384	24	10	2361	3001	90	-1	620	12											
706	52	469	-30	1147	1787	90	752	-1	13											
707	199	200	-30	2705	3345	90	460	-1	9											
708	273	234	-10	1416	2056	90	270	-1	7											
709	16	281	10	2436	3076	90	-1	5	12											
710	151	442	20	2242	2882	90	-1	385	12											
711	223	114	20	138	778	90	-1	662	12											
712	191	308	20	82	722	90	-1	235	12											
713	448	297	-10	2392	3032	90	321	-1	7											
714	386	28	20	2267	2907	90	-1	758	12											
715	106	295	20	813	1453	90	-1	960	12											
716	387	224	30	1277	1917	90	-1	68	12											
717	96	377	10	199	839	90	-1	740	12											
718	86	361	-20	2986	3626	90	151	-1	5											
719	211	107	-20	291	931	90	171	-1	6											
720	43	125	30	1363	2003	90	-1	552	12											
721	369	351	20	598	1238	90	-1	384	12											
722	388	228	-30	995	1635	90	755	-1	13											
723	325	228	-20	1570	2210	90	317	-1	7											
724	490	159	-20	1657	2297	90	395	-1	8											
725	420	78	20	1158	1798	90	-1	773	12											
726	396	4	10	833	1473	90	-1	654	12											
727	222	317	-20	2175	2815	90	311	-1	7											
728	389	198	20	303	943	90	-1	812	12											
729	322	454	20	216	856	90	-1	462	13											
730	241	391	30	2745	3385	90	-1	181	13											
731	256	117	-30	2927	3567	90	925	-1	15											
732	298	255	-10	48	688	90	920	-1	15											
733	74	363	-20	2523	3163	90	128	-1	4											
734	345	496	20	1167	1807	90	-1	886	13											
735	167	169	-20	1414	2054	90	969	-1	15											
736	23	306	20	1942	2582	90	-1	112	13											
737	317	62	20	437	1077	90	-1	545	13											
738	319	257	20	416	1056	90	-1	429	13											
739	129	255	-30	2476	3116	90	26	-1	7											
740	59	377	-10	1848	2488	90	717	-1	12											
741	138	272	-10	1581	2221	90	392	-1	8											
742	317	251	30	700	1340	90	-1	214	13											
743	279	436	20	1279	1919	90	-1	41	13											
744	371	207	-10	128	768	90	422	-1	9											
745	263	372	-30	646	1286	90	66	-1	12											
746	50	347	-10	2322	2962	90	228	-1	6											
747	275	236	20	1323	1963	90	-1	632	13											
748	334	47	20	219	859	90	-1	454	13											
749	50	383	10	1649	2289	90	-1	339	13											
750	170	338	-20	2044	2684	90	595	-1	11											
751	245	109	-20	2849	3489	90	90	-1	14											
752	69	475	30	949	1589	90	-1	706	13											
753	54	372	-20	1751	2391	90	581	-1	11											
754	198	334	20	1963	2603	90	-1	238	13											
755	380	228	30	897	1537	90	-1	722	13											
756	425	118	10	219	859	90	-1	368	13											
757	80	398	10	586	1226	90	-1	801	13											
758	366	57	-20	2836	3476	90	714	-1	12											
759	67	463	30	344	984	90	-1	971	13											
760	226	86	-10	2355	2995	90	379	-1	8											
761	59	480	-20	1343	1983	90	800	-1	13											
762	40	378	20	1146	1786	90	-1	376	13											
763	250	367	-10	1873	2513	90	866	-1	14											
764	157	436	20	2533	3173	90	-1	176	13											
765	463	161	-10	2163	2803	90	907	-1	14											
766	266	250	10	169	809	90	-1	18	13											
767	51	162	-20	1973	2613	90	28	-1	7											
768	194	353	-20	1131	1771	90	664	-1	12											
769	383	41	20	2445	3085	90	-1	318	13											
770	247	82	-20	1588	2228	90	487	-1	10											
771	457	142	20	589	1229	90	-1	47	13											
772	244	94	20	1555	2195	90	-1	326	13											
773	441	63	-20	2034	2674	90	725	-1	12											
774	244	371	-10	2070	2710	90	583	-1	11											
775	174	444	10	208	848	90	-1	639	13											
776	94	247	30	613	1253	90	-1	73	13											
777	320	225	-20	1774	2414	90	63	-1	11											
778	316	80	30	2412	3052	90	-1	616	13											
779	155	447	-30	2432	3072	90	370	-1	8											
780	211	308	-10	1663	2303	90	193	-1	6											
781	297	442	-20	1572	2212	90	809	-1	13											
782	200	342	10	757	1397	90	-1	918	13											
783	44	325	-20	2941	3581	90	155	-1	6											
784	438	60	-20	1940	2580	90	952	-1	15											
785	80	374	20	259	899	90	-1	75	13											
786	59	163	20	2071	2711	90	-1	406	13											
787	236	92	-10	1970	2610	90	218	-1	6											
788	414	66	30	1352	1992	90	-1	71	13											
789	34	279	20	1266	1906	90	-1	949	13											
790	475	156	-30	1173	1813	90	823	-1	14											
791	404	310	20	165	805	90	-1	410	13											
792	367	239	-20	2916	3556	90	818	-1	13											
793	210	359	10	1328	1968	90	-1	599	13											
794	133	278	-10	1770	2410	90	404	-1	8											
795	446	169	-20	2945	3585	90	484	-1	10											
796	188	356	-30	1642	2282	90	835	-1	14											
797	312	252	20	605	1245	90	-1	152	13											
798	69	485	-40	2018	2658	90	124	-1	3											
799	413	353	-10	1410	2050	90	412	-1	8											
800	54	446	20	277	917	90	-1	761	13											
801	56	357	-10	1548	2188	90	757	-1	13											
802	230	105	-10	2718	3358	90	246	-1	6											
803	196	302	20	74	714	90	-1	899	13											
804	391	373	-30	2820	3460	90	131	-1	4											
805	101	295	-10	718	1358	90	36	-1	8											
806	234	350	-20	2377	3017	90	169	-1	6											
807	215	108	-10	2520	3160	90	405	-1	8											
808	142	457	10	1353	1993	90	-1	331	13											
809	283	425	20	618	1258	90	-1	781	13											
810	77	397	10	679	1319	90	-1	233	13											
811	105	317	-40	2669	3309	90	377	-1	8											
812	382	213	-20	1475	2115	90	728	-1	12											
813	213	76	-10	1060	1700	90	7	-1	12											
814	417	56	20	1542	2182	90	-1	130	13											
815	183	340	10	2437	3077	90	-1	340	13											
816	123	242	-20	2950	3590	90	929	-1	15											
817	475	136	20	789	1429	90	-1	831	13											
818	377	246	20	2814	3454	90	-1	792	13											
819	310	484	30	386	1026	90	-1	177	13											
820	47	280	-20	205	845	90	832	-1	14											
821	57	456	20	282	922	90	-1	9	14											
822	313	266	20	133	773	90	-1	302	14											
823	475	145	30	888	1528	90	-1	790	14											
824	400	376	-30	522	1162	90	85	-1	14											
825	290	416	30	170	810	90	-1	278	14											
826	277	369	30	170	810	90	-1	915	14											
827	91	303	-30	1959	2599	90	551	-1	10											
828	194	301	30	126	766	90	-1	295	14											
829	254	238	-30	2406	3046	90	526	-1	10											
830	215	91	30	2050	2690	90	-1	282	14											
831	500	162	-20	1848	2488	90	817	-1	13											
832	56	287	20	197	837	90	-1	820	14											
833	289	452	-30	2558	3198	90	241	-1	6											
834	378	326	30	148	788	90	-1	669	14											
835	197	350	30	946	1586	90	-1	796	14											
836	243	88	20	1491	2131	90	-1	919	14											
837	250	72	-20	885	1525	90	414	-1	8											
838	101	290	-30	910	1550	90	655	-1	12											
839	351	480	-30	1470	2110	90	990	-1	15											
840	67	357	-20	2804	3444	90	461	-1	9											
841	128	240	-10	3045	3685	90	879	-1	14											
842	253	81	-10	786	1426	90	57	-1	11											
843	307	227	-10	2613	3253	90	481	-1	9											
844	233	441	-20	2985	3625	90	846	-1	14											
845	311	47	-20	830	1470	90	921	-1	15											
846	292	456	20	2278	2918	90	-1	844	14											
847	183	187	20	1528	2168	90	-1	641	14											
848	392	31	-10	2650	3290	90	258	-1	7											
849	103	251	-10	1018	1658	90	107	-1	1											
850	300	443	10	1756	2396	90	-1	978	14											
851	420	295	10	1512	2152	90	-1	84	14											
852	427	64	30	1052	1692	90	-1	587	14											
853	372	354	-50	1701	2341	90	393	-1	8											
854	101	263	-20	916	1556	90	336	-1	8											
855	141	454	-20	1446	2086	90	950	-1	15											
856	146	461	20	1257	1897	90	-1	208	14											
857	298	430	30	229	869	90	-1	217	14											
858	148	270	10	103	743	90	-1	313	14											
859	76	287	-20	1574	2214	90	2	-1	6											
860	308	55	30	631	1271	90	-1	364	14											
861	143	257	10	261	901	90	-1	667	14											
862	393	2	-30	739	1379	90	106	-1	1											
863	385	28	-10	2046	2686	90	163	-1	6											
864	204	291	-10	2663	3303	90	260	-1	7											
865	132	272	-30	2054	2694	90	195	-1	6											
866	206	379	10	227	867	90	-1	763	14											
867	69	383	-10	2230	2870	90	32	-1	7											
868	245	96	20	1463	2103	90	-1	267	14											
869	431	301	10	1228	1868	90	-1	666	14											
870	448	94	-10	2914	3554	90	449	-1	9											
871	199	305	-20	1380	2020	90	603	-1	11											
872	95	356	-10	2997	3637	90	643	-1	11											
873	328	498	-10	873	1513	90	499	-1	10											
874	108	222	-20	1257	1897	90	441	-1	9											
875	341	26	10	1048	1688	90	-1	893	14											
876	63	454	10	276	916	90	-1	387	14											
877	222	357	-30	1277	1917	90	612	-1	11											
878	416	364	-20	1698	2338	90	668	-1	12											
879	127	278	10	1866	2506	90	-1	841	14											
880	140	252	20	357	997	90	-1	141	14											
881	218	298	-10	2466	3106	90	647	-1	12											
882	432	87	-10	2618	3258	90	987	-1	15											
883	216	300	-20	2373	3013	90	400	-1	8											
884	438	72	10	858	1498	90	-1	146	14											
885	184	178	10	1214	1854	90	-1	504	14											
886	345	468	-20	2437	3077	90	734	-1	13											
887	150	435	20	2055	2695	90	-1	298	14											
888	395	365	30	185	825	90	-1	194	14											
889	208	371	20	415	1055	90	-1	518	14											
890	190	292	10	505	1145	90	-1	309	14											
891	78	479	-20	849	1489	90	390	-1	8											
892	104	198	-30	2063	2703	90	550	-1	10											
893	346	13	-10	1446	2086	90	875	-1	14											
894	47	388	20	953	1593	90	-1	357	14											
895	315	57	-20	931	1571	90	87	-1	14											
896	110	199	10	1967	2607	90	-1	635	14											
897	323	60	10	1030	1670	90	-1	434	14											
898	308	82	-20	2699	3339	90	43	-1	9											
899	216	374	-20	795	1435	90	803	-1	13											
900	326	253	-20	799	1439	90	601	-1	11											
901	308	232	-40	2708	3348	90	653	-1	12											
902	118	223	10	134	774	90	-1	690	14											
903	149	444	-10	2335	2975	90	126	-1	3											
904	95	395	30	212	852	90	-1	198	14											
905	117	319	-20	2868	3508	90	439	-1	9											
906	262	352	-10	1396	2036	90	493	-1	10											
907	468	135	10	692	1332	90	-1	765	14											
908	351	31	-30	573	1213	90	498	-1	10											
909	361	15	20	1878	2518	90	-1	403	15											
910	195	300	10	218	858	90	-1	510	15											
911	397	27	-20	2148	2788	90	118	-1	2											
912	179	311	-20	93	733	90	188	-1	6											
913	77	133	10	469	1109	90	-1	642	15											
914	66	397	-10	885	1525	90	646	-1	12											
915	366	352	-30	2590	3230	90	826	-1	14											
916	221	87	-20	1163	1803	90	452	-1	9											
917	347	23	-20	860	1500	90	123	-1	3											
918	176	358	-10	1835	2475	90	782	-1	13											
919	229	78	-20	2256	2896	90	836	-1	14											
920	272	246	10	22	662	90	-1	732	15											
921	293	67	20	187	827	90	-1	845	15											
922	140	265	40	1303	1943	90	-1	190	15											
923	238	83	-40	1303	1943	90	202	-1	6											
924	136	296	-20	3035	3675	90	625	-1	11											
925	218	98	30	1762	2402	90	-1	731	15											
926	290	440	-10	1381	2021	90	624	-1	11											
927	29	302	-20	1845	2485	90	137	-1	5											
928	290	425	30	179	819	90	-1	337	15											
929	124	247	20	2855	3495	90	-1	816	15											
930	442	287	-20	2584	3224	90	981	-1	15											
931	294	64	10	191	831	90	-1	530	15											
932	74	165	-20	2638	3278	90	448	-1	9											
933	382	245	-30	2719	3359	90	588	-1	11											
934	405	24	-30	274	914	90	517	-1	10											
935	211	97	20	572	1212	90	-1	964	15											
936	88	390	30	393	1033	90	-1	359	15											
937	37	295	-10	1651	2291	90	192	-1	6											
938	359	371	-30	2182	2822	90	77	-1	13											
939	186	372	-20	1445	2085	90	973	-1	15											
940	116	446	20	1658	2298	90	-1	221	15											
941	293	249	10	43	683	90	-1	559	15											
942	83	228	20	409	1049	90	-1	943	15											
943	96	269	-20	725	1365	90	942	-1	15											
944	179	284	30	791	1431	90	-1	219	15											
945	368	219	-30	700	1340	90	279	-1	7											
946	66	359	-20	2917	3557	90	425	-1	9											
947	189	338	10	2714	3354	90	-1	670	15											
948	163	277	10	3093	3733	0	-1	1012	15											
949	5	296	-20	2146	2786	90	789	-1	13											
950	152	478	20	775	1415	90	-1	855	15											
951	366	34	-30	1846	2486	90	700	-1	12											
952	429	80	20	575	1215	90	-1	784	15											
953	464	178	10	2451	3091	90	-1	80	15											
954	138	196	30	1753	2393	90	-1	682	15											
955	87	481	10	2493	3133	0	-1	1000	15											
956	425	99	20	231	871	90	-1	232	15											
957	241	362	-40	2170	2810	90	244	-1	6											
958	207	289	-10	2757	3397	90	236	-1	6											
959	264	365	-30	1015	1655	90	186	-1	6											
960	102	289	-20	1002	1642	90	715	-1	12											
961	233	346	-20	2471	3111	90	512	-1	10											
962	78	141	30	203	843	90	-1	604	15											
963	196	348	-30	854	1494	90	586	-1	11											
964	216	92	-20	2142	2782	90	935	-1	15											
965	444	309	-30	2185	2825	90	468	-1	9											
966	313	263	-30	226	866	90	673	-1	12											
967	211	198	-20	2420	3060	90	602	-1	11											
968	314	436	-20	1861	2501	90	226	-1	6											
969	217	189	20	324	964	90	-1	735	15											
970	197	178	20	818	1458	90	-1	288	15											
971	60	497	-30	1637	2277	90	759	-1	13											
972	206	312	-20	1760	2400	90	473	-1	9											
973	197	351	20	1037	1677	90	-1	939	15											
974	305	233	-20	2801	3441	90	320	-1	7											
975	297	250	-30	3093	3733	90	399	-1	8											
976	71	348	-20	2815	3455	90	70	-1	12											
977	11	269	10	870	1510	90	-1	567	15											
978	247	447	-10	2880	3520	90	850	-1	14											
979	386	213	-10	1756	2396	90	569	-1	11											
980	292	434	10	515	1155	90	-1	629	15											
981	436	301	20	1133	1773	90	-1	930	15											
982	145	221	20	468	1108	90	-1	284	15											
983	224	96	40	1858	2498	90	-1	239	15											
984	59	128	20	1256	1896	90	-1	157	15											
985	489	150	-10	1558	2198	90	33	-1	8											
986	152	225	-30	754	1394	90	585	-1	11											
987	426	85	10	387	1027	90	-1	882	15											
988	415	73	20	1255	1895	90	-1	680	15											
989	440	70	10	2131	2771	90	-1	391	15											
990	320	476	30	283	923	90	-1	839	15											
991	57	132	10	1072	1712	90	-1	676	15											
992	405	311	30	166	806	90	-1	319	15											
993	109	250	10	1300	1940	90	-1	451	1											
994	428	314	-20	752	1392	90	109	-1	1											
995	40	288	-10	1553	2193	90	91	-1	15											
996	175	282	10	886	1526	90	-1	201	2											
997	298	456	-30	2092	2732	90	349	-1	8											
998	208	101	10	387	1027	90	-1	264	3											
999	342	52	10	218	858	90	-1	450	4											
1000	87	481	-10	2493	3133	90	955	-1	15											
1001	375	31	-20	1945	2585	90	514	-1	10											
1002	440	81	-20	2425	3065	90	660	-1	12											
1003	484	161	-10	1456	2096	90	143	-1	5											
1004	25	290	-30	2631	3271	90	153	-1	5											
1005	154	458	-20	885	1525	90	277	-1	7											
1006	69	346	-10	2722	3362	90	457	-1	9											
1007	418	385	-30	2517	3157	90	92	-1	15											
1008	325	75	-30	2130	2770	90	350	-1	8											
1009	153	295	-20	3078	3718	90	255	-1	7											
1010	249	251	-20	2796	3436	90	477	-1	9											
1011	123	206	-10	1645	2285	90	630	-1	11											
1012	163	277	-10	3093	3733	90	948	-1	15											
1013	283	248	-30	33	673	90	444	-1	9											
1014	37	48	10	81	961	90	-1	1277	1											
1015	42	100	-20	285	1165	90	1404	-1	5											
1016	131	31	-30	1773	2653	90	1384	-1	5											
1017	108	13	-10	1658	2538	90	1267	-1	4											
1018	17	166	10	1524	2404	90	-1	1407	1											
1019	147	134	20	2535	3415	90	-1	1144	1											
1020	48	103	10	565	1445	90	-1	1114	1											
1021	127	166	20	1835	2715	90	-1	1394	1											
1022	50	181	-20	506	1386	90	1102	-1	2											
1023	19	156	10	1825	2705	90	-1	1255	1											
1024	146	157	-10	1231	2111	90	1210	-1	3											
1025	93	166	10	1257	2137	90	-1	1403	1											
1026	170	83	-20	1675	2555	90	1154	-1	2											
1027	79	13	-30	1072	1952	90	1311	-1	4											
1028	73	112	10	29	909	90	-1	1320	1											
1029	87	87	-40	2299	3179	90	1137	-1	2											
1030	118	50	-20	1611	2491	90	1048	-1	1											
1031	79	70	-30	479	1359	90	1038	-1	1											
1032	67	102	-20	1541	2421	90	1213	-1	3											
1033	48	166	30	113	993	90	-1	1256	1											
1034	45	88	30	56	936	90	-1	1364	1											
1035	61	101	10	252	1132	90	-1	1274	1											
1036	54	175	20	409	1289	90	-1	1098	1											
1037	126	39	-30	1581	2461	90	1116	-1	2											
1038	107	73	30	27	907	90	-1	1031	1											
1039	42	75	20	1212	2092	90	-1	1312	1											
1040	74	102	10	149	1029	90	-1	1350	1											
1041	72	118	20	692	1572	90	-1	1376	1											
1042	65	135	20	981	1861	90	-1	1230	1											
1043	27	89	-10	2207	3087	90	1216	-1	3											
1044	84	133	10	36	916	90	-1	1198	1											
1045	178	69	-20	1382	2262	90	1344	-1	4											
1046	127	46	-20	2544	3424	90	1145	-1	2											
1047	28	96	20	72	952	90	-1	1218	1											
1048	100	47	20	53	933	90	-1	1030	1											
1049	69	167	20	73	953	90	-1	1219	1											
1050	98	59	10	41	921	90	-1	1371	1											
1051	79	84	-20	2109	2989	90	1389	-1	5											
1052	61	174	10	1093	1973	90	-1	1139	1											
1053	138	135	-10	2672	3552	90	1260	-1	3											
1054	170	156	-20	1725	2605	90	1160	-1	2											
1055	119	169	20	1737	2617	90	-1	1318	1											
1056	66	192	20	2026	2906	90	-1	1345	1											
1057	120	76	-10	1000	1880	90	1382	-1	5											
1058	29	171	-30	2211	3091	90	1236	-1	3											
1059	89	11	-10	1355	2235	90	1289	-1	4											
1060	170	64	20	1784	2664	90	-1	1134	1											
1061	135	146	-30	2666	3546	90	1410	-1	5											
1062	85	134	20	37	917	90	-1	1346	1											
1063	19	179	-30	632	1512	90	1360	-1	5											
1064	95	137	10	300	1180	90	-1	1122	1											
1065	163	125	-10	2336	3216	90	1356	-1	5											
1066	30	54	-30	83	963	90	1150	-1	2											
1067	16	77	-20	1100	1980	90	1152	-1	2											
1068	28	168	-30	2304	3184	90	1155	-1	2											
1069	78	188	20	2512	3392	90	-1	1095	1											
1070	27	83	-30	2303	3183	90	1306	-1	4											
1071	136	57	-20	1108	1988	90	1130	-1	2											
1072	59	98	10	1442	2322	90	-1	1272	1											
1073	170	49	30	515	1395	90	-1	1199	1											
1074	114	138	-20	2636	3516	90	1299	-1	4											
1075	78	154	10	58	938	90	-1	1165	1											
1076	69	190	-10	1933	2813	90	1361	-1	5											
1077	60	171	20	81	961	90	-1	1387	1											
1078	112	53	-30	1708	2588	90	1185	-1	2											
1079	99	123	-20	2150	3030	90	1349	-1	5											
1080	28	50	10	141	1021	90	-1	1117	1											
1081	97	163	20	1352	2232	90	-1	1244	1											
1082	150	135	20	477	1357	90	-1	1262	1											
1083	136	134	-20	2674	3554	90	1221	-1	3											
1084	120	153	-20	2530	3410	90	1290	-1	4											
1085	79	89	10	2672	3552	90	-1	1268	1											
1086	162	44	-10	128	1008	90	1159	-1	2											
1087	163	55	-10	2343	3223	90	1285	-1	4											
1088	103	91	20	9	889	90	-1	1183	1											
1089	74	91	-10	2696	3576	90	1316	-1	4											
1090	126	31	20	1868	2748	90	-1	1234	1											
1091	16	146	-30	1725	2605	90	1215	-1	3											
1092	84	20	-10	2237	3117	90	1104	-1	2											
1093	21	91	-20	1612	2492	90	1239	-1	3											
1094	37	162	20	2497	3377	90	-1	1208	1											
1095	89	168	-20	2655	3535	90	1069	-1	1											
1096	72	10	20	787	1667	90	-1	1397	2											
1097	55	160	10	212	1092	90	-1	1304	2											
1098	63	189	-20	2121	3001	90	1036	-1	1											
1099	164	124	-20	2245	3125	90	1143	-1	2											
1100	20	96	-10	1427	2307	90	1187	-1	3											
1101	82	88	-20	2394	3274	90	1231	-1	3											
1102	76	157	20	61	941	90	-1	1022	2											
1103	74	196	-10	2413	3293	90	1408	-1	5											
1104	85	14	10	1954	2834	90	-1	1092	2											
1105	77	86	-10	2016	2896	90	1273	-1	4											
1106	142	141	20	758	1638	90	-1	1131	2											
1107	119	66	-20	714	1594	90	1142	-1	2											
1108	7	176	10	1329	2209	90	-1	1340	2											
1109	92	55	-30	2325	3205	90	1140	-1	2											
1110	168	43	10	419	1299	90	-1	1302	2											
1111	89	113	-30	2254	3134	90	1156	-1	2											
1112	98	85	-10	2627	3507	90	1307	-1	4											
1113	46	99	-20	471	1351	90	1338	-1	4											
1114	62	120	-10	592	1472	90	1020	-1	1											
1115	93	1	20	1549	2429	90	-1	1333	2											
1116	144	58	30	1010	1890	90	-1	1037	2											
1117	20	54	-10	240	1120	90	1080	-1	1											
1118	32	191	10	113	993	90	-1	1124	2											
1119	143	72	-30	2641	3521	90	1378	-1	5											
1120	68	190	-20	1842	2722	90	1179	-1	2											
1121	140	51	10	1313	2193	90	-1	1206	2											
1122	119	130	-10	2688	3568	90	1064	-1	1											
1123	37	195	10	113	993	90	-1	1126	2											
1124	29	163	-10	2399	3279	90	1118	-1	2											
1125	120	70	-10	808	1688	90	1127	-1	2											
1126	12	186	-10	1131	2011	90	1123	-1	2											
1127	118	59	10	526	1406	90	-1	1125	2											
1128	90	74	10	27	907	90	-1	1180	2											
1129	165	151	-10	1534	2414	90	1386	-1	5											
1130	125	72	20	903	1783	90	-1	1071	2											
1131	177	122	-20	2050	2930	90	1106	-1	2											
1132	64	78	-10	269	1149	90	1175	-1	2											
1133	67	60	10	1092	1972	90	-1	1174	2											
1134	167	55	-20	2159	3039	90	1060	-1	1											
1135	173	56	-40	705	1585	90	1176	-1	2											
1136	179	78	20	1575	2455	90	-1	1391	2											
1137	83	74	40	768	1648	90	-1	1029	2											
1138	140	70	-30	1204	2084	90	1204	-1	3											
1139	81	191	-10	2606	3486	90	1052	-1	1											
1140	101	37	30	63	943	90	-1	1109	2											
1141	34	182	-30	337	1217	90	1390	-1	5											
1142	99	61	20	237	1117	90	-1	1107	2											
1143	168	126	20	2150	3030	90	-1	1099	2											
1144	139	131	-20	2674	3554	90	1019	-1	1											
1145	134	46	20	1391	2271	90	-1	1046	2											
1146	66	78	30	177	1057	90	-1	1237	2											
1147	71	189	-30	1749	2629	90	1324	-1	4											
